### BCODMO_SM Biology organism terms:
NCBITaxon:_taxonomic:rank	#taxonomic rank
NCBITaxon:418917	#coccolithales
NCBITaxon:6830	#copepoda
NCBITaxon:151721	#Coryphopterus glaucofraenum
NCBITaxon:263511	#Crocosphaera watsonii
NCBITaxon:6657	#Crustacea
NCBITaxon:1912852	#Cryptophyta
NCBITaxon:31486	#Cumagloia andersonii
NCBITaxon:102234	#cyanobacterium
NCBITaxon:84308	#Cyclopoida
NCBITaxon:1708515	#Cypris
NCBITaxon:215450	#Decapodiformes
NCBITaxon:6684	#Dendrobranchiata
NCBITaxon:1028812	#Dendropoma platypus
NCBITaxon:31174	#Diadema
NCBITaxon:2864	#Dinophyceae
NCBITaxon:89253	#Diploria
NCBITaxon:242715	#Diploria labyrinthiformis
NCBITaxon:1206794	#Ecdysozoa
NCBITaxon:527035	#Echinocrepis
NCBITaxon:527038	#Echinocrepis rostrata
NCBITaxon:7586	#Echinodermata
NCBITaxon:7625	#Echinoidea
NCBITaxon:31177	#Echinometra
NCBITaxon:203293	#Elacatinus genie
NCBITaxon:2903	#Emiliania huxleyi
NCBITaxon:6388	#Enchytraeidae
NCBITaxon:31421	#Endocladia muricata
NCBITaxon:6118	#Entacmaea quadricolor
NCBITaxon:43120	#Entoprocta
NCBITaxon:160727	#Epinephelus striatus
NCBITaxon:27606	#Eubalaena glacialis
NCBITaxon:2759	#Eukaryota
NCBITaxon:34886	#Eumetopias jubatus
NCBITaxon:86557	#Eunicea
NCBITaxon:287897	#Eunicea laxispica
NCBITaxon:437161	#Eunicea mammosa
NCBITaxon:287898	#Eunicea succinea
NCBITaxon:6818	#Euphausia
NCBITaxon:6816	#euphausiacea
NCBITaxon:6817	#Euphausiidae
NCBITaxon:2339889	#Eurytemora herdmani
NCBITaxon:1328294	#Faviinae
NCBITaxon:279648	#Flabelligeridae
NCBITaxon:29178	#Foraminifera
NCBITaxon:8049	#Gadus morhua
NCBITaxon:305681	#Galaxaura filamentosa
NCBITaxon:6448	#Gastropoda
NCBITaxon:33313	#Gastrotricha
NCBITaxon:1154736	#Glaucus
NCBITaxon:69025	#Globigerina bulloides
NCBITaxon:69041	#Globigerinita glutinata
NCBITaxon:69027	#Globorotalia hirsuta
NCBITaxon:69028	#Globorotalia inflata
NCBITaxon:69029	#Globorotalia truncatulinoides
NCBITaxon:34514	#Glottidia
NCBITaxon:8249	#Gomphosus varius
NCBITaxon:204383	#Gorgonia
NCBITaxon:586823	#Gramma melacara
NCBITaxon:274798	#Grammatidae
NCBITaxon:6512	#Gymnosomata
NCBITaxon:478399	#Heteractis aurora
NCBITaxon:175771	#Heteractis crispa
NCBITaxon:38281	#Heteractis magnifica
NCBITaxon:2293252	#Heteractis malu
NCBITaxon:89963	#Heterocapsa rotundata
NCBITaxon:31479	#Hildenbrandia
NCBITaxon:7705	#Holothuroidea
NCBITaxon:390339	#Howellidae
NCBITaxon:61326	#hydromedusa
NCBITaxon:29086	#Hydrurga leptonyx
NCBITaxon:29979	#Isopoda
NCBITaxon:51516	#Kinorhyncha
NCBITaxon:50351	#lagodon rhomboides
NCBITaxon:9713	#Leptonychotes weddellii
