Matrix	Sub Matrix	Sub Matrix	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset
water	hypoxic water		ENVO:01001064	hypoxic water	hypoxic water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	lake water		ENVO:04000007	lake water	lake water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	leachate		ENVO:00002141	leachate	leachate	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	leachate	hydrothermal fluid	ENVO:01000134	hydrothermal fluid	hydrothermal fluid	leachate											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	meltwater		ENVO:01000722	meltwater	meltwater	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	mesotrophic water		ENVO:00002225	mesotrophic water	mesotrophic water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	oligotrophic water		ENVO:00002223	oligotrophic water	oligotrophic water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	oxic water		ENVO:01001063	oxic water	oxic water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	river water		ENVO:01000599	river water	river water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	sea water		ENVO:00002149	sea water	sea water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	sea water	coastal sea water	ENVO:00002150	coastal sea water	coastal sea water	sea water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	sterile water		ENVO:00005791	sterile water	sterile water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	stormwater		ENVO:01001267	stormwater	stormwater	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	waste water		ENVO:00002001	waste water	waste water	water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	waste water	industrial wastewater	ENVO:01000964	industrial wastewater	industrial wastewater	waste water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
water	waste water	sewage	ENVO:00002018	sewage	sewage	waste water											http://bcodmo/sm#matrix	http://bcodmo/sm#material
waste material			ENVO:00002264	waste material	waste material												http://bcodmo/sm#matrix	http://bcodmo/sm#material
waste material	waste water		ENVO:00002001	waste water	waste water	waste material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
waste material	waste water	sewage	ENVO:00002018	sewage	sewage	waste material											http://bcodmo/sm#matrix	http://bcodmo/sm#material
wax			ENVO:01000575	wax	wax												http://bcodmo/sm#matrix	http://bcodmo/sm#material
wood			ENVO:00002040	wood	wood												http://bcodmo/sm#matrix	http://bcodmo/sm#material
manganese nodule			ENVO:01000112	manganese nodule	manganese nodule													
